Identified Proteins (1678),Accession Number,Alternate ID,Molecular Weight,Protein Grouping Ambiguity,Taxonomy,Acetate-R1,Acetate-R2,Acetate-R3,Arabinose-R1,Arabinose-R2,Arabinose-R3,Fumarate-R1,Fumarate-R2,Fumarate-R3,Glucose-R1,Glucose-R2,Glucose-R3,LB-R1,LB-R2,LB-R3,Mannitol-R1,Mannitol-R2,Mannitol-R3,Mannose-R1,Mannose-R2,Mannose-R3,Protocatechuate-R1,Protocatechuate-R2,Protocatechuate-R3,Ribose-R1,Ribose-R2,Ribose-R3,Succinate-R1,Succinate-R2,Succinate-R3,Xylose-R1,Xylose-R2,Xylose-R3
NADP-dependent malic enzyme OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=maeB PE=4 SV=1,A9CIT3,maeB,83 kDa,,unknown,7.6768,6.3633,5.9342,10.787,9.5122,11.015,19.968,18.345,17.188,6.5339,14.412,10.116,20.058,18.714,18.02,14.909,14.789,15.162,11.911,10.861,11.078,9.4003,9.7876,8.1856,8.8234,9.675,9.4895,17.001,19.516,16.697,11.285,10.362,11.119
"ABC transporter, substrate binding protein (Branched amino acid) OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=livJ PE=4 SV=2",Q7CV59,livJ,41 kDa,,unknown,2.8788,3.1816,2.3737,0,0,0,0.90766,0,1.9098,1.3068,1.1086,1.0116,0.91174,1.1008,0,0.9939,0.98595,3.0324,3.9703,3.9494,3.0212,103.4,108.64,101.3,9.7057,8.7075,8.5406,0,1.8587,0,7.5233,4.7098,8.0864
PRC domain-containing protein OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu4165 PE=4 SV=1,A9CG63,Atu4165,19 kDa,,unknown,15.354,16.969,15.429,6.8643,8.3232,7.0099,13.615,16.414,15.279,11.761,9.9776,9.1043,8.2056,8.8067,8.0089,11.927,9.8595,10.108,9.9257,8.8862,11.078,11.489,9.7876,10.232,1.7647,0.9675,0,16.001,14.87,16.697,15.047,12.245,15.162
Peroxiredoxin OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu0779 PE=3 SV=1,A9CJW9,Atu0779,17 kDa,,unknown,15.354,14.848,10.682,12.748,11.89,16.023,10.892,10.621,11.459,14.375,14.412,11.128,10.941,15.412,12.013,11.927,10.845,12.13,12.903,11.848,14.099,11.489,9.7876,15.348,14.117,10.643,13.285,13.001,13.011,12.059,13.166,16.013,16.173
50S ribosomal protein L20 OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=rplT PE=3 SV=1,Q8UIN7,rplT,15 kDa,,unknown,6.7172,10.605,10.682,10.787,11.89,9.0127,9.9842,8.6897,11.459,13.068,11.086,10.116,8.2056,12.109,9.0101,7.9512,9.8595,9.0972,9.9257,10.861,10.071,10.445,7.8301,7.1624,9.7057,6.7725,9.4895,10.001,9.2935,8.3484,11.285,11.303,11.119
Enoyl-[acyl-carrier-protein] reductase [NADH] OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=fabI PE=3 SV=1,A9CJX9,fabI,29 kDa,TRUE,unknown,7.6768,7.4238,5.9342,5.8837,7.1342,6.0084,21.784,16.414,21.008,10.454,6.6517,9.1043,9.1174,8.8067,8.0089,9.939,9.8595,9.0972,9.9257,9.8736,8.0565,9.4003,8.8089,6.1392,9.7057,11.61,7.5916,17.001,17.658,19.48,12.225,12.245,9.0972
Acetolactate synthase OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=ilvI PE=3 SV=2,Q7CY08,ilvI,65 kDa,,unknown,20.152,16.969,14.242,18.632,21.403,19.027,4.5383,2.8965,2.8647,10.454,18.847,15.174,7.2939,7.7058,7.0078,11.927,9.8595,12.13,17.866,15.798,15.106,15.667,16.639,10.232,22.941,20.318,21.826,5.0003,2.788,2.7828,14.106,15.071,16.173
PRC domain-containing protein OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu8119 PE=4 SV=2,Q8U5M3,Atu8119,16 kDa,,unknown,12.475,14.848,16.616,8.8256,4.7561,14.02,14.522,16.414,12.414,19.602,18.847,17.197,2.7352,4.4033,4.0045,12.921,11.831,14.151,10.918,8.8862,12.085,15.667,15.66,16.371,0,0,0,18.001,17.658,15.769,15.047,15.071,14.151
Threonine synthase OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=thrC PE=4 SV=1,A9CJW5,thrC,57 kDa,TRUE,unknown,10.556,12.727,13.055,12.748,10.701,14.02,19.968,17.379,18.143,7.8407,11.086,14.162,6.3821,3.3025,5.0056,13.915,12.817,13.14,13.896,12.836,14.099,14.623,15.66,13.302,7.0587,6.7725,7.5916,18.001,22.304,18.552,12.225,11.303,12.13
MFS permease OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=mtbA PE=4 SV=2,Q7CWX7,mtbA,66 kDa,,unknown,56.617,81.662,91.387,0.98062,0,3.0042,8.1689,9.6552,9.5491,1.3068,2.2172,3.0348,0,0,0,0.9939,0,0,0.99257,0.98736,1.0071,11.489,8.8089,9.2088,18.529,14.513,17.081,11.001,9.2935,11.131,11.285,12.245,12.13
Nitrogen regulatory protein PII OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=glnB PE=3 SV=2,Q7CYK6,glnB,12 kDa,,unknown,10.556,12.727,11.868,15.69,21.403,15.021,13.615,14.483,13.369,13.068,12.195,13.151,12.764,12.109,14.016,11.927,14.789,14.151,12.903,11.848,13.092,13.578,13.703,11.255,10.588,11.61,10.438,12.001,13.011,12.059,11.285,12.245,12.13
"ABC transporter, substrate binding protein (Oligopeptide) OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu4525 PE=4 SV=1",A9CGS7,Atu4525,56 kDa,TRUE,unknown,1.9192,4.2422,2.3737,2.9419,4.7561,4.0056,3.6306,4.8276,5.7295,7.8407,4.4345,5.058,63.821,58.344,70.078,4.9695,3.9438,4.0432,2.9777,2.9621,4.0282,5.2224,3.9151,5.116,10.588,11.61,11.387,3.0002,2.788,3.7104,15.987,16.955,17.184
50S ribosomal protein L21 OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=rplU PE=3 SV=1,Q8UBR5,rplU,11 kDa,,unknown,10.556,6.3633,5.9342,5.8837,8.3232,8.0113,13.615,12.552,11.459,7.8407,6.6517,10.116,5.4704,6.605,6.0067,8.9451,7.8876,11.119,5.9554,10.861,12.085,10.445,8.8089,9.2088,6.1764,8.7075,4.7448,10.001,9.2935,12.059,8.4637,8.4776,12.13
SH3b domain-containing protein OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu2203 PE=4 SV=2,Q7CXM3,Atu2203,22 kDa,,unknown,11.515,15.908,18.99,5.8837,7.1342,7.0099,17.245,16.414,17.188,14.375,13.303,11.128,4.5587,2.2017,1.0011,10.933,9.8595,13.14,12.903,15.798,14.099,19.845,16.639,17.394,0,0,0,18.001,16.728,16.697,15.987,13.187,16.173
"ABC transporter, substrate binding protein (Oligopeptide) OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu4438 PE=4 SV=1",A9CGN3,Atu4438,56 kDa,,unknown,11.515,8.4844,7.1211,12.748,14.268,13.018,9.9842,12.552,11.459,11.761,15.521,13.151,8.2056,7.7058,11.012,11.927,13.803,11.119,12.903,10.861,9.0636,10.445,9.7876,11.255,16.764,12.578,13.285,10.001,12.081,9.276,7.5233,11.303,10.108
"Alpha-1,4 glucan phosphorylase OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=glgP PE=3 SV=1",A9CG13,glgP,92 kDa,,unknown,8.6364,8.4844,4.7474,18.632,16.646,17.024,9.9842,12.552,10.504,3.9204,3.3259,5.058,19.146,19.815,15.017,16.896,17.747,20.216,11.911,12.836,10.071,8.3559,6.8513,8.1856,7.9411,10.643,6.6427,16.001,15.799,16.697,1.8808,5.6517,4.0432
Organic hydroperoxide resistance protein OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=ohr PE=4 SV=1,A9CJU1,ohr,14 kDa,TRUE,unknown,13.434,11.666,15.429,7.8449,10.701,9.0127,15.43,14.483,16.233,13.068,14.412,15.174,9.1174,11.008,8.0089,10.933,9.8595,8.0864,12.903,11.848,9.0636,10.445,8.8089,11.255,10.588,9.675,8.5406,14.001,14.87,17.624,13.166,13.187,12.13
Cysteine synthase OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=cysK PE=4 SV=1,A9CJD0,cysK,37 kDa,,unknown,13.434,15.908,9.4948,12.748,10.701,13.018,15.43,14.483,15.279,10.454,9.9776,13.151,6.3821,7.7058,9.0101,10.933,12.817,10.108,13.896,11.848,14.099,14.623,11.745,11.255,9.7057,13.545,11.387,15.001,13.94,11.131,12.225,13.187,12.13
Acetylornithine aminotransferase OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=argD PE=3 SV=1,Q8UI71,argD,42 kDa,TRUE,unknown,11.515,11.666,9.4948,8.8256,4.7561,10.014,9.9842,8.6897,9.5491,9.1475,8.869,15.174,10.029,6.605,8.0089,10.933,13.803,12.13,13.896,12.836,16.113,11.489,11.745,12.278,16.764,14.513,17.081,10.001,9.2935,12.986,11.285,12.245,11.119
Pseudouridine-5'-phosphate glycosidase OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=psuG PE=3 SV=2,Q7CYB9,psuG,32 kDa,,unknown,9.5961,6.3633,4.7474,11.767,8.3232,10.014,14.522,14.483,15.279,10.454,11.086,9.1043,20.058,14.311,20.022,12.921,12.817,9.0972,12.903,13.823,13.092,10.445,8.8089,10.232,8.8234,8.7075,11.387,15.001,17.658,12.986,9.4041,8.4776,10.108
50S ribosomal protein L27 OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=rpmA PE=3 SV=1,Q8UBR6,rpmA,9 kDa,,unknown,9.5961,4.2422,3.5605,7.8449,5.9451,9.0127,15.43,12.552,15.279,6.5339,11.086,11.128,9.1174,4.4033,9.0101,14.909,12.817,11.119,13.896,11.848,13.092,12.534,12.724,13.302,11.47,7.74,12.336,10.001,15.799,14.842,12.225,15.071,11.119
Acyl carrier protein AcpP OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=acpP PE=3 SV=3,Q8UGE2,acpP,8 kDa,,unknown,11.515,9.5449,11.868,11.767,13.079,11.015,11.8,10.621,11.459,14.375,12.195,11.128,11.853,12.109,12.013,11.927,10.845,13.14,12.903,10.861,13.092,11.489,12.724,11.255,12.353,10.643,11.387,11.001,11.152,10.204,13.166,13.187,13.14
"ABC transporter, substrate binding protein (Amino acid) OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu2365 PE=4 SV=1",A9CHX9,Atu2365,28 kDa,,unknown,5.7576,6.3633,5.9342,8.8256,8.3232,11.015,19.968,20.276,21.008,7.8407,7.7603,10.116,0,0,0,14.909,11.831,13.14,10.918,11.848,9.0636,9.4003,9.7876,5.116,4.4117,6.7725,4.7448,21.001,19.516,17.624,9.4041,4.7098,7.0756
Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=accA PE=3 SV=1,Q8U9U5,accA,35 kDa,,unknown,10.556,11.666,9.4948,7.8449,7.1342,5.007,12.707,16.414,14.324,10.454,9.9776,10.116,11.853,11.008,8.0089,12.921,11.831,11.119,10.918,7.8989,6.0424,10.445,10.766,7.1624,9.7057,9.675,11.387,13.001,13.011,13.914,11.285,10.362,10.108
"ABC transporter, nucleotide binding/ATPase protein (Sugar) OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu4032 PE=4 SV=1",A9CFZ2,Atu4032,53 kDa,,unknown,8.6364,7.4238,8.3079,25.496,26.159,30.042,2.723,1.931,2.8647,14.375,17.738,17.197,0.91174,0,0,8.9451,8.8735,10.108,15.881,18.76,18.127,13.578,12.724,7.1624,11.47,12.578,14.234,5.0003,3.7174,4.638,15.047,14.129,16.173
Cold shock protein OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=cspA PE=4 SV=1,Q7CUC1,cspA,8 kDa,,unknown,11.515,10.605,10.682,11.767,13.079,11.015,11.8,12.552,11.459,15.681,12.195,11.128,12.764,11.008,13.015,10.933,10.845,12.13,11.911,10.861,11.078,13.578,11.745,12.278,11.47,8.7075,10.438,12.001,10.223,11.131,9.4041,9.4195,11.119
Arginase OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=arcA PE=3 SV=2,Q7CTU5,arcA,33 kDa,,unknown,6.7172,4.2422,2.3737,9.8062,8.3232,6.0084,9.0766,7.7241,9.5491,7.8407,3.3259,2.0232,45.587,38.529,44.049,7.9512,6.9016,9.0972,6.948,6.9115,4.0282,1.0445,5.8726,3.0696,11.47,12.578,13.285,4.0002,9.2935,7.4208,21.63,23.549,25.27
Uridylate kinase OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=pyrH PE=3 SV=1,Q8UFM1,pyrH,25 kDa,,unknown,9.5961,11.666,10.682,9.8062,10.701,11.015,13.615,14.483,14.324,10.454,9.9776,10.116,13.676,12.109,10.011,7.9512,11.831,11.119,9.9257,6.9115,10.071,6.2669,8.8089,9.2088,11.47,13.545,10.438,16.001,14.87,13.914,12.225,11.303,10.108
Homoserine dehydrogenase OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=hom PE=3 SV=2,Q7CYX5,hom,46 kDa,,unknown,4.798,7.4238,5.9342,7.8449,13.079,10.014,24.507,23.172,22.918,15.681,11.086,12.139,8.2056,12.109,12.013,13.915,14.789,14.151,13.896,12.836,12.085,7.3114,8.8089,8.1856,2.647,3.87,1.8979,19.001,21.375,18.552,10.345,7.5356,8.0864
Uncharacterized protein OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu4170 PE=4 SV=1,A9CG66,Atu4170,45 kDa,,unknown,9.5961,9.5449,8.3079,1.9612,4.7561,2.0028,22.691,22.207,23.873,10.454,8.869,12.139,3.6469,6.605,5.0056,11.927,13.803,11.119,6.948,8.8862,7.0494,10.445,8.8089,8.1856,7.0587,6.7725,7.5916,20.001,21.375,19.48,11.285,10.362,10.108
"ABC transporter, nucleotide binding/ATPase protein (Iron) OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=sitB PE=4 SV=2",Q7CV15,sitB,33 kDa,,unknown,11.515,13.787,9.4948,16.671,17.835,19.027,3.6306,6.7586,8.5942,10.454,15.521,12.139,20.058,17.613,18.02,17.89,18.733,17.184,16.874,22.709,18.127,15.667,18.596,16.371,1.7647,0.9675,0,5.0003,4.6467,5.5656,1.8808,1.8839,2.0216
ATP synthase subunit b 2 OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=atpF2 PE=3 SV=2,Q7D0U9,atpF2,22 kDa,,unknown,12.475,14.848,13.055,11.767,13.079,11.015,10.892,12.552,13.369,18.295,13.303,12.139,8.2056,11.008,12.013,13.915,10.845,14.151,9.9257,10.861,10.071,11.489,11.745,12.278,12.353,10.643,11.387,13.001,11.152,12.986,11.285,13.187,13.14
O-succinylhomoserine sulfhydrylase OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=metZ PE=3 SV=1,A9CKA2,metZ,43 kDa,TRUE,unknown,9.5961,11.666,11.868,10.787,11.89,12.017,18.153,19.31,15.279,9.1475,11.086,10.116,1.8235,2.2017,2.0022,11.927,9.8595,11.119,9.9257,10.861,10.071,9.4003,9.7876,8.1856,7.0587,10.643,10.438,14.001,19.516,18.552,8.4637,12.245,9.0972
Lactoylglutathione lyase OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=gloA PE=4 SV=1,A9CIL6,gloA,17 kDa,,unknown,11.515,12.727,9.4948,11.767,11.89,9.0127,9.0766,9.6552,10.504,13.068,12.195,11.128,12.764,14.311,13.015,10.933,11.831,12.13,12.903,12.836,13.092,11.489,13.703,13.302,11.47,12.578,11.387,13.001,11.152,9.276,11.285,11.303,12.13
30S ribosomal protein S16 OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=rpsP PE=3 SV=1,Q8UBZ9,rpsP,14 kDa,,unknown,11.515,9.5449,9.4948,10.787,8.3232,11.015,12.707,12.552,16.233,10.454,11.086,11.128,10.029,7.7058,10.011,12.921,10.845,11.119,11.911,12.836,12.085,13.578,11.745,12.278,13.235,10.643,12.336,13.001,13.011,14.842,13.166,12.245,11.119
"ABC transporter, substrate binding protein (Ribose) OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu3222 PE=4 SV=1",A9CEV8,Atu3222,34 kDa,,unknown,7.6768,5.3027,7.1211,52.953,66.586,56.079,4.5383,4.8276,2.8647,7.8407,5.5431,7.0811,3.6469,3.3025,5.0056,1.9878,1.9719,2.0216,5.9554,6.9115,6.0424,6.2669,4.8938,7.1624,9.7057,10.643,11.387,1.0001,0.92935,0,20.689,17.897,22.238
NADP-dependent malic enzyme OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu3356 PE=4 SV=1,A9CF25,Atu3356,83 kDa,,unknown,22.071,15.908,18.99,17.651,15.457,18.025,19.061,18.345,16.233,1.3068,3.3259,4.0464,6.3821,5.5042,5.0056,5.9634,5.9157,4.0432,2.9777,1.9747,3.0212,18.801,19.575,18.418,3.5294,5.805,3.7958,14.001,17.658,15.769,1.8808,4.7098,4.0432
Acetyl-CoA acetyltransferase OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu0502 PE=3 SV=1,A9CK82,Atu0502,43 kDa,,unknown,14.394,10.605,9.4948,12.748,11.89,12.017,14.522,12.552,15.279,11.761,16.629,17.197,0.91174,0,1.0011,12.921,8.8735,8.0864,13.896,16.785,14.099,7.3114,7.8301,7.1624,14.117,11.61,15.183,13.001,13.011,14.842,13.166,13.187,13.14
Acetylglutamate kinase OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=argB PE=3 SV=1,Q8UIB7,argB,31 kDa,,unknown,7.6768,10.605,5.9342,13.729,14.268,11.015,18.153,15.448,14.324,11.761,6.6517,8.0927,8.2056,14.311,11.012,12.921,9.8595,9.0972,10.918,11.848,7.0494,9.4003,9.7876,7.1624,7.9411,7.74,7.5916,17.001,18.587,12.986,8.4637,8.4776,8.0864
30S ribosomal protein S17 OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=rpsQ PE=3 SV=1,Q8UE27,rpsQ,9 kDa,,unknown,10.556,10.605,13.055,8.8256,9.5122,10.014,13.615,13.517,15.279,11.761,11.086,13.151,9.1174,8.8067,9.0101,10.933,9.8595,9.0972,8.9331,11.848,11.078,11.489,9.7876,9.2088,9.7057,6.7725,7.5916,13.001,13.011,12.986,13.166,9.4195,8.0864
Flagellin OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=flaA PE=3 SV=1,Q7D187,flaA,32 kDa,,unknown,4.798,4.2422,0,16.671,17.835,12.017,3.6306,1.931,1.9098,6.5339,5.5431,8.0927,6.3821,3.3025,5.0056,11.927,9.8595,13.14,13.896,10.861,14.099,10.445,14.681,13.302,27.353,32.895,29.418,6.0003,7.4348,6.4932,2.8212,10.362,7.0756
Uncharacterized protein OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=impC PE=4 SV=1,A9CGG5,impC,55 kDa,,unknown,30.707,24.393,16.616,1.9612,3.5671,6.0084,1.8153,1.931,2.8647,5.2272,5.5431,6.0696,34.646,27.521,34.038,6.9573,7.8876,7.0756,2.9777,4.9368,5.0353,0,0,0,31.764,29.993,25.622,1.0001,0,0,1.8808,2.8259,1.0108
DUF892 domain-containing protein OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu5494 PE=4 SV=2,Q7D2Y1,Atu5494,18 kDa,,unknown,13.434,14.848,16.616,6.8643,4.7561,10.014,18.153,16.414,15.279,14.375,17.738,13.151,10.029,9.9075,8.0089,11.927,8.8735,11.119,12.903,13.823,14.099,11.489,12.724,15.348,1.7647,0.9675,2.8469,16.001,14.87,18.552,10.345,8.4776,8.0864
ATP-dependent Clp protease proteolytic subunit 2 OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=clpP2 PE=3 SV=1,Q8UFY6,clpP2,23 kDa,,unknown,8.6364,9.5449,13.055,13.729,9.5122,10.014,11.8,10.621,11.459,13.068,9.9776,10.116,11.853,9.9075,11.012,11.927,11.831,13.14,9.9257,9.8736,8.0565,10.445,9.7876,10.232,8.8234,9.675,9.4895,10.001,8.3641,11.131,8.4637,8.4776,10.108
Aconitate hydratase 2 OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=acnB PE=4 SV=2,Q7CVQ5,acnB,101 kDa,,unknown,14.394,12.727,11.868,15.69,11.89,16.023,1.8153,0,0.95491,14.375,11.086,18.209,26.44,26.42,22.025,8.9451,10.845,11.119,12.903,15.798,14.099,11.489,14.681,13.302,14.117,14.513,13.285,0,0,0,0.94041,0,0
3-oxoacyl-(Acyl carrier protein) reductase OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=fabG PE=4 SV=1,A9CJ78,fabG,25 kDa,,unknown,9.5961,8.4844,10.682,5.8837,5.9451,7.0099,6.3536,8.6897,6.6844,11.761,6.6517,6.0696,35.558,44.033,41.046,5.9634,5.9157,5.054,3.9703,4.9368,5.0353,7.3114,4.8938,4.0928,12.353,13.545,13.285,6.0003,6.5054,6.4932,14.106,11.303,13.14
50S ribosomal protein L31 OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=rpmE PE=3 SV=1,Q8U9I5,rpmE,8 kDa,,unknown,10.556,12.727,13.055,10.787,10.701,11.015,11.8,11.586,12.414,13.068,14.412,12.139,10.029,11.008,10.011,11.927,11.831,12.13,11.911,13.823,12.085,12.534,11.745,10.232,10.588,9.675,10.438,13.001,11.152,13.914,10.345,11.303,11.119
Glutamyl-tRNA(Gln) amidotransferase subunit A OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=gatA PE=3 SV=2,Q8UFS8,gatA,53 kDa,,unknown,12.475,9.5449,7.1211,10.787,7.1342,9.0127,19.968,21.241,19.098,7.8407,8.869,8.0927,20.058,11.008,11.012,9.939,9.8595,9.0972,9.9257,9.8736,9.0636,10.445,9.7876,10.232,7.9411,5.805,6.6427,14.001,16.728,18.552,10.345,9.4195,9.0972
Cytochrome c homolog OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=cycM PE=3 SV=1,Q8UJ37,cycM,20 kDa,,unknown,11.515,9.5449,7.1211,12.748,10.701,12.017,8.1689,5.7931,7.6393,10.454,13.303,11.128,10.029,9.9075,10.011,10.933,13.803,9.0972,14.889,12.836,14.099,12.534,16.639,14.325,12.353,12.578,12.336,9.0005,8.3641,12.059,11.285,13.187,11.119
Uncharacterized protein OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu0633 PE=4 SV=2,Q7D123,Atu0633,67 kDa,,unknown,9.5961,6.3633,8.3079,13.729,11.89,13.018,11.8,9.6552,10.504,7.8407,6.6517,13.151,1.8235,1.1008,2.0022,14.909,16.761,13.14,15.881,13.823,12.085,13.578,9.7876,10.232,13.235,11.61,15.183,12.001,14.87,12.059,11.285,10.362,10.108
ZinT domain-containing protein OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu1049 PE=4 SV=1,A9CJJ6,Atu1049,25 kDa,,unknown,6.7172,1.0605,0,25.496,28.537,21.03,0,3.8621,1.9098,22.215,24.39,23.267,0,0,0,25.841,26.621,24.259,26.799,28.633,26.184,5.2224,19.575,22.51,0,0,0,9.0005,0.92935,0,0,0,0
Elongation factor P OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=efp PE=3 SV=1,P0A3B5,efp,21 kDa,,unknown,11.515,10.605,14.242,10.787,10.701,12.017,12.707,10.621,11.459,13.068,12.195,14.162,10.941,11.008,9.0101,11.927,12.817,9.0972,11.911,8.8862,12.085,12.534,11.745,11.255,8.8234,9.675,10.438,12.001,12.081,12.986,11.285,9.4195,11.119
Ubiquinol-cytochrome c reductase iron-sulfur subunit OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=fbcF PE=4 SV=2,Q7CXJ6,fbcF,20 kDa,,unknown,11.515,7.4238,9.4948,13.729,11.89,14.02,8.1689,8.6897,8.5942,11.761,11.086,14.162,11.853,11.008,12.013,13.915,15.775,14.151,11.911,11.848,11.078,10.445,11.745,13.302,12.353,8.7075,9.4895,9.0005,12.081,12.059,9.4041,12.245,12.13
Sulfite reductase (NADPH) hemoprotein beta-component OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=cysI PE=4 SV=1,A9CJ21,cysI,62 kDa,,unknown,13.434,9.5449,9.4948,11.767,7.1342,13.018,6.3536,9.6552,10.504,9.1475,11.086,14.162,0,0,0,12.921,13.803,15.162,8.9331,13.823,14.099,12.534,8.8089,11.255,15,14.513,15.183,12.001,11.152,12.059,6.5829,14.129,10.108
Oxidoreductase OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu0263 PE=4 SV=1,A9CKH4,Atu0263,34 kDa,,unknown,9.5961,9.5449,5.9342,7.8449,5.9451,9.0127,11.8,9.6552,12.414,10.454,8.869,8.0927,24.617,23.118,22.025,8.9451,7.8876,8.0864,6.948,6.9115,8.0565,6.2669,5.8726,5.116,14.117,11.61,13.285,9.0005,7.4348,11.131,15.047,14.129,14.151
Lysine--tRNA ligase OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=lysS PE=3 SV=1,Q8U7H6,lysS,56 kDa,,unknown,7.6768,8.4844,8.3079,8.8256,8.3232,10.014,10.892,11.586,15.279,10.454,7.7603,9.1043,10.941,14.311,13.015,10.933,9.8595,10.108,9.9257,9.8736,12.085,8.3559,7.8301,5.116,7.0587,5.805,6.6427,15.001,10.223,13.914,8.4637,8.4776,6.0648
Arginine--tRNA ligase OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=argS PE=3 SV=1,Q8UEP4,argS,65 kDa,,unknown,6.7172,9.5449,8.3079,6.8643,7.1342,9.0127,17.245,11.586,16.233,6.5339,9.9776,11.128,18.235,18.714,15.017,11.927,12.817,10.108,6.948,8.8862,4.0282,5.2224,4.8938,9.2088,5.294,7.74,4.7448,15.001,14.87,15.769,8.4637,8.4776,9.0972
"ABC transporter, substrate binding protein (Proline/glycine/betaine) OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu0199 PE=1 SV=1",A9CKK7,Atu0199,32 kDa,,unknown,10.556,9.5449,10.682,9.8062,9.5122,12.017,13.615,12.552,11.459,10.454,14.412,12.139,15.499,11.008,10.011,12.921,10.845,9.0972,12.903,12.836,13.092,3.1334,4.8938,6.1392,13.235,13.545,14.234,9.0005,10.223,10.204,11.285,10.362,11.119
Uncharacterized protein OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu8146 PE=4 SV=1,Q8U5F3,Atu8146,12 kDa,,unknown,10.556,9.5449,11.868,11.767,13.079,10.014,12.707,13.517,13.369,13.068,13.303,10.116,13.676,12.109,11.012,10.933,10.845,11.119,10.918,8.8862,12.085,10.445,10.766,12.278,7.0587,4.8375,7.5916,14.001,11.152,12.986,12.225,12.245,12.13
